 0.000,   +0.0000000000,  +10.0000000000,   +0.0000000000,  +10.0000000000
 0.100,   +1.0000000000,   +8.1157825000,   +0.9042191229,   +8.1157808771
 0.200,   +1.8115782500,   +6.4108718478,   +1.6291310891,   +6.4108689109
 0.300,   +2.4526654348,   +4.8682047556,   +2.1917992305,   +4.8682007695
 0.400,   +2.9394859103,   +3.4723417206,   +2.6076630885,   +3.4723369115
 0.500,   +3.2867200824,   +2.2093125016,   +2.8906929377,   +2.2093070623
 0.600,   +3.5076513326,   +1.0664763007,   +3.0535296053,   +1.0664703947
 0.700,   +3.6142989626,   +0.0323952497,   +3.1076109849,   +0.0323890151
 0.800,   +3.6175384876,   -0.9032800633,   +3.0632865105,   -0.9032865105
 0.900,   +3.5272104813,   -1.7499141742,   +2.9299207371,   -1.7499207371
 1.000,   +3.3522190638,   -2.5159804666,   +2.7159870648,   -2.5159870648
 1.100,   +3.1006210172,   -3.2091459755,   +2.4291525428,   -3.2091525428
 1.200,   +2.7797064196,   -3.8363481216,   +2.0763546041,   -3.8363546041
 1.300,   +2.3960716075,   -4.4038641435,   +1.6638704979,   -4.4038704979
 1.400,   +1.9556851931,   -4.9173739219,   +1.1973801140,   -4.9173801140
 1.500,   +1.4639478009,   -5.3820168261,   +0.6820228291,   -5.3820228291
 1.600,   +0.9257461183,   -5.8024431499,   +0.1224489437,   -5.8024489437
 1.700,   +0.3455018033,   -6.1828606536,   -0.4771337762,   -6.1828662238
 1.800,   -0.2727842620,   -6.5270766767,   -1.1129179868,   -6.5270820132
 1.900,   -0.9254919297,   -6.8385362424,   -1.7814586606,   -6.8385413394
 2.000,   -1.6093455539,   -7.1203565372,   -2.4796386081,   -7.1203613919
 2.100,   -2.3213812076,   -7.3753581083,   -3.2046372794,   -7.3753627206
 2.200,   -3.0589170185,   -7.6060930923,   -3.9539025356,   -7.6060974644
 2.300,   -3.8195263277,   -7.8148707584,   -4.7251251057,   -7.8148748943
 2.400,   -4.6010134035,   -8.0037806199,   -5.5162154751,   -8.0037845249
 2.500,   -5.4013914655,   -8.1747133466,   -6.3252829728,   -8.1747170272
 2.600,   -6.2188628002,   -8.3293796878,   -7.1506168486,   -8.3293831514
 2.700,   -7.0518007690,   -8.4693275932,   -7.9906691522,   -8.4693308478
 2.800,   -7.8987335283,   -8.5959577061,   -8.8440392400,   -8.5959607600
 2.900,   -8.7583292989,   -8.7105373809,   -9.7094597571,   -8.7105402429
 3.000,   -9.6293830370,   -8.8142133674,  -10.5857839537,   -8.8142160463
 3.100,  -10.5108043737,   -8.9080232878,  -11.4719742074,   -8.9080257926
 3.200,  -11.4016067025,   -8.9929060217,  -12.3670916388,   -8.9929083612
 3.300,  -12.3008973047,   -9.0697111024,  -13.2702867145,   -9.0697132855
 3.400,  -13.2078684149,   -9.1392072196,  -14.1807907452,   -9.1392092548
 3.500,  -14.1217891369,   -9.2020899126,  -15.0979081918,   -9.2020918082
 3.600,  -15.0419981282,   -9.2589885313,  -16.0210097045,   -9.2589902955
 3.700,  -15.9678969813,   -9.3104725352,  -16.9495258241,   -9.3104741759
 3.800,  -16.8989442348,   -9.3570571926,  -17.8829412828,   -9.3570587172
 3.900,  -17.8346499541,   -9.3992087375,  -18.8207898466,   -9.3992101534
 4.000,  -18.7745708278,   -9.4373490360,  -19.7626496500,   -9.4373503500
 4.100,  -19.7183057314,   -9.4718598083,  -20.7081389730,   -9.4718610270
 4.200,  -20.6654917122,   -9.5030864493,  -21.6569124210,   -9.5030875790
 4.300,  -21.6158003572,   -9.5313414851,  -22.6086574684,   -9.5313425316
 4.400,  -22.5689345057,   -9.5569077010,  -23.5630913301,   -9.5569086699
 4.500,  -23.5246252758,   -9.5800409719,  -24.5199581315,   -9.5800418685
 4.600,  -24.4826293730,   -9.6009728229,  -25.4790263477,   -9.6009736523
 4.700,  -25.4427266553,   -9.6199127467,  -26.4400864866,   -9.6199135134
 4.800,  -26.4047179299,   -9.6370502999,  -27.4029489916,   -9.6370510084
 4.900,  -27.3684229599,   -9.6525570008,  -28.3674423448,   -9.6525576552
 5.000,  -28.3336786600,   -9.6665880452,  -29.3334113506,   -9.6665886494
 5.100,  -29.3003374645,   -9.6792838603,  -30.3007155820,   -9.6792844180
 5.200,  -30.2682658506,   -9.6907715100,  -31.2692279755,   -9.6907720245
 5.300,  -31.2373430016,   -9.7011659661,  -32.2388335594,   -9.7011664406
 5.400,  -32.2074595982,   -9.7105712599,  -33.2094283027,   -9.7105716973
 5.500,  -33.1785167242,   -9.7190815224,  -34.1809180745,   -9.7190819255
 5.600,  -34.1504248764,   -9.7267819270,  -35.1532177016,   -9.7267822984
 5.700,  -35.1231030691,   -9.7337495419,  -36.1262501161,   -9.7337498839
 5.800,  -36.0964780233,   -9.7400541011,  -37.0999455840,   -9.7400544160
 5.900,  -37.0704834334,   -9.7457587027,  -38.0742410074,   -9.7457589926
 6.000,  -38.0450593037,   -9.7509204402,  -39.0490792931,   -9.7509207069
 6.100,  -39.0201513477,   -9.7555909738,  -40.0244087808,   -9.7555912192
 6.200,  -39.9957104451,   -9.7598170477,  -41.0001827266,   -9.7598172734
 6.300,  -40.9716921498,   -9.7636409579,  -41.9763588346,   -9.7636411654
 6.400,  -41.9480562456,   -9.7671009753,  -42.9528988340,   -9.7671011660
 6.500,  -42.9247663431,   -9.7702317287,  -43.9297680960,   -9.7702319040
 6.600,  -43.9017895160,   -9.7730645518,  -44.9069352871,   -9.7730647129
 6.700,  -44.8790959712,   -9.7756277964,  -45.8843720557,   -9.7756279443
 6.800,  -45.8566587508,   -9.7779471162,  -46.8620527479,   -9.7779472521
 6.900,  -46.8344534625,   -9.7800457238,  -47.8399541515,   -9.7800458485
 7.000,  -47.8124580348,   -9.7819446226,  -48.8180552629,   -9.7819447371
 7.100,  -48.7906524971,   -9.7836628174,  -49.7963370775,   -9.7836629225
 7.200,  -49.7690187788,   -9.7852175046,  -50.7747823990,   -9.7852176010
 7.300,  -50.7475405293,   -9.7866242438,  -51.7533756677,   -9.7866243323
 7.400,  -51.7262029537,   -9.7878971142,  -52.7321028047,   -9.7878971953
 7.500,  -52.7049926651,   -9.7890488551,  -53.7109510705,   -9.7890489295
 7.600,  -53.6838975506,   -9.7900909934,  -54.6899089384,   -9.7900910616
 7.700,  -54.6629066500,   -9.7910339592,  -55.6689659782,   -9.7910340218
 7.800,  -55.6420100459,   -9.7918871901,  -56.6481127526,   -9.7918872474
 7.900,  -56.6211987649,   -9.7926592254,  -57.6273407221,   -9.7926592779
 8.000,  -57.6004646874,   -9.7933577918,  -58.6066421600,   -9.7933578400
 8.100,  -58.5798004666,   -9.7939898810,  -59.5860100749,   -9.7939899251
 8.200,  -59.5591994547,   -9.7945618189,  -60.5654381407,   -9.7945618593
 8.300,  -60.5386556366,   -9.7950793298,  -61.5449206332,   -9.7950793668
 8.400,  -61.5181635696,   -9.7955475931,  -62.5244523730,   -9.7955476270
 8.500,  -62.4977183289,   -9.7959712953,  -63.5040286737,   -9.7959713263
